,source,target,edge
3464,reaction,750.0 room torr,takes
3465,,4.0 Creative Commons License,Adapted from
3466,,,Download for free
3467,corresponding enthalpy enthalpies,reactants,use
3468,standard enthalpy change,standard  reactants,is
3469,more  that,different  sizes,consist of
3470,more metal that,more metal atoms,is
3471,charged  attraction,opposite  direction,behave as
3472,when  cations,other,result
3473,Structures,positive  compound,determined by
3474,usually  which,packed  array,find
3475,when  they,when  which,make
3476,smaller  cations,two  anions,occupy
3477,smaller,adjacent  plane,found between
3478,so  hole,tetrahedron,called
3479,adjacent  this,adjacent  octahedron,called
3480,figure,holes,illustrates
3481,Cations,two  anions,occupy
3482,relative  cations,tetrahedral  figure,occupy tetrahedral
3483,larger  cations,octahedral  holes,occupy tetrahedral
3484,octahedral  anions,cubic  array,adopt
3485,larger  cations,open  spacing,occupy
3486,cations size,compound,are
3487,,tetrahedral CCP anions,are
3488,maximum anion all,tetrahedral  ratio,filled at
3489,Examples,Li2O,include
3490,ionic  sizes,tetrahedral  holes,crystallize in
3491,however  some,tetrahedral  holes,remain vacant
3492,ratio,HCP CCP structure,is
3493,Thus  compounds,maximum anion 1:1,have
3494,all,octahedral  holes,filled
3495,when  some,octahedral  holes,observed
3496,cubic  that,array,is
3497,same  all,cubic  holes,occupied
3498,Half,cubic  SrH2,occupied in
3499,principal  that,structure,crystallize in
3500,cubic unit we,ionic  structures,crystallize with cubic
3501,1:1  it,cubic  structure,forms
3502,Cesium chloride,174  pm,is
3503,cubic cesium ions,cubic Cl ions,think of
3504,Cesium ions,chloride unit cells,touch along
3505,One cesium ion,1:1 cesium chloride,are present
3506,cesium ion,chloride  ion,Note
3507,Ionic  compounds,cubic  structure,form
3508,They,unit corners,described by
3509,location,lattice points,said
3510,lattice points,cesium ions,illustrated by
3511,chloride lattice ion,cell,located on
3512,they,identical  structures,are
3513,significantly  it,typically FCC unit that,crystallizes with
3514,Sodium chloride,102  pm,is
3515,chloride  ions,octahedral cell cell,think of
3516,sodium  ions,cell edges,touch
3517,unit cell,1:1 chloride formula,contains
3518,that,usually FCC structure,form
3519,They,octahedral FCC unit holes,described by
3520,zinc zinc,also FCC unit cell,crystallizes in
3521,structure,FCC lattice,contains
3522,arrangement,chloride sodium chloride,is
3523,small sulfide Zn2,tetrahedral  holes,is
3524,,empirical unit formula,are
3525,ZnS,tetrahedral zinc structure,forms
3526,equivalent calcium ions,FCC lattice,is
3527,All,fluoride calcium ions,occupied by fluoride
3528,,chemical fluorine formula,are
3529,Close  examination,cubic calcium holes,reveal
3530,fluoride ions,identical  environments,described in
3531,four fluoride ions,four calcium ions,differs
3532,Calcium fluoride,tetrahedral fluoride them,forms
3533,development,inner  atoms,revealed
3534,atom,charged  electrons,learned
3535,much  electrons,almost atoms volume,contains
3536,10 diameter,nucleus,is on
3537,atom,football stadium,consider
3538,that,themare,Atomsand
3539,such  we,small  measure,use
3540,that,atoms,is
3541,amu,abundant  carbon,defined with
3542,atom,6  protons,contains
3543,Isotopes,next  module,discussed in more
3544,mass,12 carbon amu,assigned
3545,g. carbon charge,subatomic  particles,is
3546,small  unit,subatomic  particles,developed
3547,electron,2  C,has
3548,10 C. A proton,1.0073  +,called
3549,it,1.0087  zero,is
3550,0.00055  it,one  proton,take
3551,properties,fundamental  table,summarized in
3552,number,atom,is
3553,defining  value,atom,determines
3554,many  it,many  neutrons,is
3555,so  number,electrons,equals
3556,atomic  number,also  atom,indicates
3557,total  number,atom,called
3558,number,Z mass neutrons,is
3559,same  number,negatively  electrons,are
3560,,4.0 Creative Commons License,Adapted from
3561,,,Download for free
3562,orbital  model,single covalent bonds,appears
3563,it,double  bonds,Is
3564,multiple  bonds,bonds,discussed
3565,how  they,hybrid  orbitals,consider
3566,carbon atom,other carbon atom,shows
3567,three bonding regions,planar electron pair geometry,form
3568,hybrid carbon that,2p orbitals,expect
3569,orbitals,double  bond,form
3570,remaining carbon that,hybridization,bond in
3571,orbital  lobes,hybrid  orbitals,unhybridized
3572,unhybridized 2p orbitals,internuclear  bond,overlap in
3573,four hydrogen atoms,same carbon plane,are
3574,relative p orbitals,efficiently  bond,oriented
3575,ethene it,ethene molecule,occurs
3576,orbital  overlap,relative  bond,occurs
3577,bonding electron density,axis,change
3578,however  this,essentially bonding bond,alter
3579,unhybridized p orbitals,atom,remain on
3580,which,acetylene,find
3581,sp hybrid orbitals,two carbon atoms,overlap
3582,remaining sp orbitals,hydrogen atoms,form
3583,they,two  bonds,positioned such
3584,two carbon atoms,triple  bond,bound
3585,,4.0 Creative Commons License,Adapted from
3586,,,Download for free
3587,atomic quantum orbitals,one,use
3588,orbitals,atom,allows
3589,specific  arrangement,chemical atom,determines many
3590,energy,principal quantum number,increases as
3591,below  we,increasing energy relate,depicts
3592,1s orbital,lowest  energy,is
3593,increasing n value,small l atoms,increases
3594,However  pattern,larger  atoms,hold for larger
3595,3d orbital,4s  orbital,is
3596,frequently  we,chart,continue
3597,ground electrons,low energy orbitals,tend
3598,5p orbitals,immediately  6s,find
3599,filling order,theoretical  calculations,based on observed
3600,principal quantum number,farther  nucleus,spend more
3601,energy,orbital,is weaker
3602,highest  you,it,is
3603,shortly  order,periodic  table,see
3604,,Creative Commons Attribution,Adapted from
3605,,,Download for free
3606,only  molecules,so  material,exhibit selective
3607,selective dialysis tubing,metabolic blood,provide
3608,materials,semipermeable  membranes,referred to
3609,solvent  molecules,pure  that,Consider
3610,Solvent molecules,directions,diffuse across
3611,faster solution they,reverse  direction,diffuse from
3612,result,pure solvent solution,is
3613,driven  transfer,semipermeable solvent osmosis,is
3614,above solution it,solvent,volume of
3615,This,solvent  side,causes
3616,that,bulk solvent ceases,reaches
3617,pressure,osmotic  solution,called
3618,where solute R,absolute solute equation,related to
3619,applying,pure solvent solvent,reverses
3620,technique,high purity tap drinking,used for large
3621,0.30 M that,intravenous body temperature,is
3622,310 Kelvin value,appropriate  units,find
3623,biological  cells,semipermeable  membranes,are evident
3624,water,again  water,made crisp
3625,Water,celery osmosis,moves into
3626,cucumber,concentrated salt salt,loses
3627,Osmosis,also animal cells,affect
3628,when  solutions,body,are
3629,Solutes,7.7 blood atm,give
3630,is  they,blood serum,be isotonic
3631,diluted blood cells,diluted blood osmosis,passes into
3632,process,,called
3633,hypertonic cells,possibly  process,lose
3634,effects,,illustrated
3635,,4.0 Creative Commons License,Adapted from
3636,,,Download for free
3637,bulk  it,bulk  atoms,discussed
3638,chemical  we,mass,were able
3639,chemical  formula,substance,is
3640,we,experimental mass measurements,explore
3641,chemical formulas,elemental  makeup,defines
3642,measuring,first  formula,is
3643,results,various percent composition compound,permit
3644,,solely  carbon,consider
3645,2.85 g percent,compound,is
3646,compound,23.7 % mass,indicate
3647,Percent composition,known  formulas,is
3648,,fertilizers  ammonia,consider
3649,agricultural mass percentage,practical  fertilizers,is
3650,percent composition,constituent formula elements,derived from
3651,molecule,3.024 H amu,contains
3652,same  approach,dozen  molecules,is
3653,latter  amount,atomic  example,is
3654,chemical  we,formula mass formula mass,derive
3655,Aspirin,molecular formula C9H8O4,is
3656,percent composition,,is
3657,percent we,known  C9H8O4,need
3658,It,chemical Creative Commons Attribution,is
3659,,,Download for free
3660,then covalent electrons,bond,shared
3661,We,pure covalent bond,refer to
3662,Electrons,equal covalent nucleus,shared in pure
3663,total covalent number,noble gas argon,starts
3664,Cl2,pure covalent bond,features
3665,bonding electrons,covalent bond,shared
3666,Instead bonding electrons,one electron atom,are
3667,unequal  distribution,negative covalent other,known as
3668,that,negative  charge,acquires
3669,electrons,more hydrogen atom,spend
3670,Thus chlorine atom,positive hydrogen charge,carries
3671,Figure,HCl bond,shows
3672,nonpolar  which,two  atoms,Note
3673,lowercase Greek d atom,positive  charge,designate
3674,symbolism,HCl molecule,shown for
3675,,4.0 Creative Commons License,Adapted from
3676,,,Download for free
3677,VSEPR theory,dimensional  molecule,predicts
3678,valence electrons,high electron density,states
3679,which,central electron atom,is equivalent
3680,dipole  moment,charge,measures
3681,bond dipole bond moment,two  atoms,determined by
3682,how  dipoles,molecular  structure,determined by
3683,nonpolar dipole molecules,electric dipole fields,interact with electric
3684,instructor,that,evaluate
3685,questions,material,be for
3686,self evaluation,also  class,shape
3687,responses,instructor,graded
3688,,Creative Commons Attribution,Adapted from
3689,,,Download for free
3690,molecules,nitrite  ion,have
3691,two bond lengths,indeed  single,expect
3692,double  bond,two  atoms,is shorter
3693,however  bonds,other  properties,show
3694,bonds,octet,is
3695,actual  distribution,various Lewis structures,is
3696,actual  distribution,double nitrogen oxygen bond,is
3697,individual Lewis that,different  electrons,call
3698,electronic  structure,individual resonance forms,called
3699,Lewis they,Lewis structures,indicates
3700,molecule,electronic resonance form,shown as
3701,electronic resonance structure,always resonance forms,is
3702,George Wheland,historical resonance forms,used
3703,before  it,common  both,described
3704,other resonance hybrid,given resonance time,is
3705,experimental  evidence,real  that,is
3706,themselves,imaginary  unicorn,has
3707,One oxygen atom,central  atom,have
3708,double  bond,three  atoms,are equivalent
3709,This,three carbonate ion,gives
3710,actual  arrangement,three carbonate structures,know
3711,three CO bonds,,show
3712,,4.0 Creative Commons License,Adapted from
3713,,,Download for free
3714,where potassium thebubbling,more  vinegar,greater
3715,acetic  compound,responsible  ofvinegar,know
3716,potassium bubbling,CO2 gas,was due
3717,test,quantitative potassium sample,is
3718,concentration,known  solution,determined from
3719,present amount that,present amount ofproduct,determined by
3720,titrationanalysisquantitative chemical analysis that,completely  sample,was
3721,known  that,analytechemical substance interest,involves
3722,titrant,stoichiometric analyte concentration,undergo achemical
3723,distinct  change,reaction,provides
3724,indicatorssubstances,very equivalence titration,is
3725,also solution that,apredictable  titration,detected by
3726,detect titrations equivalence volume,titrant,called
3727,end type,chemical  unit,serve as
3728,visual end point,0.250 M NaOH titrant,added to
3729,molarity,HCl,is
3730,balanced chemical approach,additional solution concentrations,followed with additional
3731,provided HCl concentration,4.0 Creative Commons License,is
3732,,,Download for free
3733,gas molecules,whole  volume,occupy
3734,criteria,low  pressure,are satisfied
3735,disregardedthis,gas laws,said
3736,van der which,gas particles,developed
3737,ideal der Waals equation,accurately  gas,are significant
3738,two gas one,attractive gas them,improves upon
3739,,particular b gas,corresponds to
3740,ideal gas ccorrectiond,volume,is
3741,der Waals equation,ideal gas law,Note
3742,low condition number,low  pressure,corresponds to
3743,Experimental  values,common der Waals table,given in
3744,low  correction,molecular  volume,is
3745,molecules,total  volume,becomes important
3746,gas,small  pressures,opposing
3747,we,graph,reflected by
3748,ideal  pressure,ideal  gas,makes
3749,Z gas molecules,total gas volume,becomes
3750,intermolecular  attractions,whole gas volume,occupy
3751,criteria,low  pressure,are satisfied
3752,disregardedthis,gas laws,said
3753,atm\\ mol^{-1}\\ K^{-1,32.4 atm\\ difference,\imes
3754,very  temperature,ideal gas law,is
3755,they,volume  attractions,is
